date,open,high,low,close,volume,return
2020-06-18,5538.6,5558.2,5514.0,5558.0,132237.0,0.0030680382602419343
2020-06-19,5554.8,5643.8,5549.8,5613.6,143002.0,0.010003598416696624
2020-06-22,5638.6,5671.8,5613.8,5618.0,103485.0,0.0007838107453326248
2020-06-23,5606.8,5645.2,5576.0,5637.6,99718.0,0.0034887860448558072
2020-06-24,5658.4,5663.6,5602.6,5644.0,85017.0,0.0011352348517099653
2020-06-29,5632.4,5633.6,5566.6,5608.8,92194.0,-0.006236711552090712
2020-06-30,5637.8,5735.8,5636.2,5702.8,122406.0,0.01675937812009698
2020-07-01,5725.4,5731.2,5660.6,5725.4,118266.0,0.003962965560777132
2020-07-02,5731.2,5884.8,5711.0,5869.0,139196.0,0.02508121703287114
2020-07-03,5902.6,5962.4,5889.8,5955.0,140344.0,0.014653262906798359
2020-07-06,6022.0,6358.8,6021.6,6262.8,176354.0,0.05168765743073056
2020-07-07,6351.2,6470.0,6326.4,6355.2,168376.0,0.014753784249856183
2020-07-08,6403.0,6487.0,6314.4,6454.6,142959.0,0.015640735146022156
2020-07-09,6465.6,6653.6,6463.8,6650.2,156276.0,0.030303969262231556
2020-07-10,6612.8,6701.8,6561.6,6623.8,167483.0,-0.003969805419385852
2020-07-13,6700.2,6821.6,6648.2,6817.0,158876.0,0.02916754732932758
2020-07-14,6782.4,6802.4,6551.8,6692.6,208039.0,-0.018248496406043646
2020-07-15,6749.8,6751.6,6491.2,6546.6,216713.0,-0.021815139108866455
2020-07-16,6577.0,6640.8,6136.6,6210.6,258994.0,-0.05132435157180826
2020-07-17,6245.8,6342.8,6183.2,6238.0,206248.0,0.00441181206324659
2020-07-20,6301.2,6380.4,6220.2,6370.0,165086.0,0.02116062840654065
2020-07-21,6400.4,6451.8,6348.6,6406.6,146842.0,0.005745682888540049
2020-07-22,6389.8,6592.0,6366.0,6455.8,181725.0,0.007679580432678801
2020-07-23,6449.2,6504.0,6278.6,6468.4,180383.0,0.001951733325072036
2020-07-24,6442.6,6443.8,6087.0,6121.6,203980.0,-0.0536144950837919
2020-07-27,6175.0,6203.6,6074.6,6123.4,151940.0,0.0002940407736538031
2020-07-28,6207.8,6230.0,6113.0,6165.2,143145.0,0.006826272985596349
2020-07-29,6168.0,6415.6,6156.6,6415.2,168264.0,0.04055018490884321
2020-07-30,6444.0,6450.2,6336.4,6365.4,141795.0,-0.007762813318368922
2020-07-31,6391.8,6516.0,6276.0,6432.2,194204.0,0.01049423445502251
2020-08-03,6539.4,6591.2,6475.0,6578.6,157767.0,0.022760486303286642
2020-08-04,6588.2,6602.4,6499.0,6542.4,138194.0,-0.005502690542060762
2020-08-05,6546.0,6628.0,6477.0,6585.2,154306.0,0.006541941795059847
2020-08-06,6634.4,6635.8,6434.4,6594.0,183686.0,0.001336329952013715
2020-08-07,6510.0,6552.6,6360.4,6512.4,182733.0,-0.01237488626023664
2020-08-10,6475.0,6602.4,6441.0,6556.0,163291.0,0.006694920459431319
2020-08-11,6576.2,6602.0,6383.0,6413.4,155159.0,-0.021751067724222195
2020-08-12,6405.2,6408.8,6210.6,6339.2,176419.0,-0.011569526304300304
2020-08-13,6378.0,6397.6,6316.8,6356.4,145507.0,0.002713276123170072
2020-08-14,6345.0,6513.8,6338.4,6510.6,170902.0,0.024259014536530232
2020-08-17,6510.0,6610.2,6462.0,6588.2,161449.0,0.011919024360274033
2020-08-18,6603.8,6653.6,6590.4,6613.6,130281.0,0.0038553777966667813
2020-08-19,6607.0,6613.8,6470.6,6479.2,153547.0,-0.020321761219305734
2020-08-20,6428.2,6505.8,6394.2,6424.8,167621.0,-0.008396098283738662
2020-08-21,6475.6,6522.4,6385.2,6430.0,170984.0,0.0008093637156019184
2020-08-24,6448.4,6496.6,6376.8,6444.8,137515.0,0.0023017107309486473
2020-08-25,6464.8,6542.4,6398.4,6424.4,135237.0,-0.0031653426017875796
2020-08-26,6424.0,6450.4,6294.4,6338.4,132179.0,-0.013386464105597407
2020-08-27,6353.0,6410.4,6312.2,6407.2,125477.0,0.010854474315284746
2020-08-28,6389.6,6562.8,6351.4,6562.0,157461.0,0.02416031964040455
2020-08-31,6599.4,6620.2,6483.0,6483.2,136183.0,-0.012008533983541625
2020-09-01,6498.2,6555.2,6475.8,6549.8,113579.0,0.010272704837117619
2020-09-02,6567.8,6569.0,6443.2,6509.8,143435.0,-0.006107056704021452
2020-09-03,6502.8,6535.8,6436.8,6485.2,137457.0,-0.003778917939107229
2020-09-04,6406.6,6475.2,6371.2,6463.8,134465.0,-0.003299821131190983
2020-09-07,6473.2,6513.2,6287.2,6306.6,148894.0,-0.024320059407778705
2020-09-08,6332.4,6401.8,6285.8,6374.8,140113.0,0.010814067801985239
2020-09-09,6320.4,6330.4,6150.0,6207.0,169671.0,-0.026322394428060503
2020-09-10,6252.4,6263.4,6076.6,6103.6,167172.0,-0.01665861124536805
2020-09-11,6113.2,6178.2,6081.0,6156.0,152235.0,0.008585097319614654
2020-09-14,6198.6,6222.8,6121.4,6189.8,148269.0,0.005490578297595805
2020-09-15,6185.6,6215.0,6155.4,6204.8,138872.0,0.0024233416265468932
2020-09-16,6194.6,6203.2,6129.6,6172.0,131527.0,-0.005286230015471904
2020-09-17,6148.2,6245.2,6096.6,6187.0,182035.0,0.0024303305249513407
2020-09-18,6203.6,6321.2,6163.8,6316.4,172073.0,0.020914821399709016
2020-09-21,6334.0,6340.6,6228.4,6248.8,119241.0,-0.010702298777784724
2020-09-22,6218.0,6294.2,6137.4,6168.8,130648.0,-0.012802458071949796
2020-09-23,6192.2,6223.8,6158.2,6199.0,104295.0,0.004895603683050087
2020-09-24,6160.2,6171.6,6015.0,6070.2,143852.0,-0.020777544765284706
2020-09-25,6100.8,6117.4,6043.8,6093.8,119049.0,0.0038878455405093604
2020-09-28,6104.8,6109.2,6032.4,6051.4,118415.0,-0.006957891627556001
2020-09-29,6087.4,6165.4,6061.6,6104.4,140398.0,0.008758303863568795
2020-09-30,6120.0,6135.0,5982.2,6042.0,132935.0,-0.01022213485354817
2020-10-09,6173.8,6243.4,6172.0,6204.8,116696.0,0.026944720291294244
2020-10-12,6280.8,6415.4,6277.4,6415.0,133020.0,0.03387699845281067
2020-10-13,6389.6,6418.2,6340.4,6407.6,118363.0,-0.0011535463756819908
2020-10-14,6390.0,6403.2,6353.0,6377.6,98878.0,-0.004681940196017198
2020-10-15,6372.2,6377.2,6315.8,6329.4,122493.0,-0.007557701956849128
2020-10-16,6326.6,6345.4,6236.6,6287.4,135333.0,-0.006635700066357053
2020-10-19,6334.0,6364.2,6158.0,6199.8,143892.0,-0.013932627159079947
2020-10-20,6191.6,6270.4,6174.0,6266.8,95492.0,0.010806800219361978
2020-10-21,6261.8,6262.0,6145.6,6204.2,119906.0,-0.00998914916703908
2020-10-22,6168.4,6193.8,6106.4,6174.8,111590.0,-0.004738725379581532
2020-10-23,6186.2,6231.0,6073.8,6090.4,119257.0,-0.013668458897454272
